No, acquistion, image, color Change, brighting, detection, rectification
0, 0.005610942840576172, 0.005528450012207031, 0.001739492416381836, 0.006910106658935547, 0.020846128463745117, 0.0005292892456054688
1, 0.004256010055541992, 0.002715587615966797, 0.0012793540954589844, 0.006127834320068359, 0.019171714782714844, 0.00046944618225097656
2, 0.006909608840942383, 0.005171775817871094, 0.0014195442199707031, 0.007066249847412109, 0.022903919219970703, 0.0004494190216064453
3, 0.006921529769897461, 0.0048503875732421875, 0.0012764930725097656, 0.006052255630493164, 0.019277572631835938, 0.0004544258117675781
4, 0.006978750228881836, 0.004706382751464844, 0.0013515949249267578, 0.006091594696044922, 0.025281429290771484, 0.0005421638488769531
5, 0.00652766227722168, 0.004761219024658203, 0.0012736320495605469, 0.0060634613037109375, 0.01934814453125, 0.0004203319549560547
6, 0.007350444793701172, 0.004834890365600586, 0.0012943744659423828, 0.006068229675292969, 0.018718242645263672, 0.0004169940948486328
7, 0.007691860198974609, 0.004769325256347656, 0.0012807846069335938, 0.006052732467651367, 0.018367528915405273, 0.0004227161407470703
8, 0.007076740264892578, 0.004769086837768555, 0.0012788772583007812, 0.006006002426147461, 0.019103050231933594, 0.0004687309265136719
9, 0.006382465362548828, 0.004829883575439453, 0.0013158321380615234, 0.0060155391693115234, 0.01949334144592285, 0.00041794776916503906
10, 0.006874561309814453, 0.0048902034759521484, 0.0012755393981933594, 0.006006717681884766, 0.024749040603637695, 0.0004413127899169922
11, 0.006499767303466797, 0.004890918731689453, 0.0013184547424316406, 0.0062677860260009766, 0.024254322052001953, 0.0006144046783447266
12, 0.006884336471557617, 0.0047686100006103516, 0.0012667179107666016, 0.006072521209716797, 0.020067214965820312, 0.00041174888610839844
13, 0.007544517517089844, 0.004870414733886719, 0.001262664794921875, 0.006115436553955078, 0.0174710750579834, 0.00042128562927246094
14, 0.0064508914947509766, 0.004800081253051758, 0.0013086795806884766, 0.006026029586791992, 0.019767045974731445, 0.0004258155822753906
15, 0.007409334182739258, 0.004837751388549805, 0.0012683868408203125, 0.00608515739440918, 0.020809412002563477, 0.0004291534423828125
16, 0.007437467575073242, 0.0047528743743896484, 0.0013048648834228516, 0.006032466888427734, 0.020982027053833008, 0.0004229545593261719
17, 0.006999492645263672, 0.004872322082519531, 0.001251220703125, 0.006023406982421875, 0.021010160446166992, 0.00042891502380371094
18, 0.007005214691162109, 0.0048160552978515625, 0.0012772083282470703, 0.00616455078125, 0.019688844680786133, 0.00041604042053222656
19, 0.0075130462646484375, 0.0048084259033203125, 0.0012807846069335938, 0.006070137023925781, 0.021622896194458008, 0.0004177093505859375
20, 0.0066487789154052734, 0.004805088043212891, 0.0012798309326171875, 0.00601506233215332, 0.021531343460083008, 0.00042891502380371094
21, 0.00735926628112793, 0.004866361618041992, 0.0012631416320800781, 0.006067752838134766, 0.021375417709350586, 0.0004210472106933594
22, 0.006476402282714844, 0.004738330841064453, 0.0012154579162597656, 0.006113290786743164, 0.022032976150512695, 0.0004203319549560547
23, 0.007126331329345703, 0.00471043586730957, 0.0013308525085449219, 0.006030559539794922, 0.020723819732666016, 0.000469207763671875
24, 0.0073850154876708984, 0.005226612091064453, 0.001268625259399414, 0.006063222885131836, 0.02082204818725586, 0.00042366981506347656
25, 0.007132530212402344, 0.00494074821472168, 0.0012295246124267578, 0.006165981292724609, 0.01992321014404297, 0.000431060791015625
26, 0.0072405338287353516, 0.004746913909912109, 0.001268148422241211, 0.0060613155364990234, 0.019765377044677734, 0.0004265308380126953
27, 0.0072400569915771484, 0.004740238189697266, 0.001337289810180664, 0.00602269172668457, 0.020273923873901367, 0.0004210472106933594
28, 0.00708770751953125, 0.004768848419189453, 0.0013127326965332031, 0.00600743293762207, 0.02063918113708496, 0.00047659873962402344
29, 0.0074460506439208984, 0.004807710647583008, 0.0012769699096679688, 0.006114482879638672, 0.020224332809448242, 0.0004284381866455078
30, 0.0073947906494140625, 0.0050046443939208984, 0.002039194107055664, 0.00613713264465332, 0.019234895706176758, 0.0004131793975830078
31, 0.0070569515228271484, 0.004770040512084961, 0.0012671947479248047, 0.006143331527709961, 0.018796443939208984, 0.00042057037353515625
32, 0.0069692134857177734, 0.004825592041015625, 0.0013074874877929688, 0.006024837493896484, 0.019268512725830078, 0.00042510032653808594
33, 0.007172346115112305, 0.004850149154663086, 0.0013196468353271484, 0.006026744842529297, 0.020479440689086914, 0.0004258155822753906
34, 0.0075953006744384766, 0.004836559295654297, 0.0012860298156738281, 0.006101369857788086, 0.02005910873413086, 0.0004146099090576172
35, 0.007294178009033203, 0.004792928695678711, 0.0013186931610107422, 0.006287097930908203, 0.02204275131225586, 0.00042366981506347656
36, 0.006485462188720703, 0.00471949577331543, 0.0013589859008789062, 0.0059893131256103516, 0.01996135711669922, 0.0004248619079589844
37, 0.007050991058349609, 0.0047359466552734375, 0.0013148784637451172, 0.0060427188873291016, 0.019664764404296875, 0.00041961669921875
38, 0.00689387321472168, 0.0047953128814697266, 0.0013704299926757812, 0.006346225738525391, 0.019520998001098633, 0.0004253387451171875
39, 0.007070302963256836, 0.004761934280395508, 0.0013451576232910156, 0.00603938102722168, 0.020565271377563477, 0.0004215240478515625
40, 0.007437944412231445, 0.0048139095306396484, 0.0012829303741455078, 0.006072282791137695, 0.01848459243774414, 0.000461578369140625
41, 0.00657963752746582, 0.004789113998413086, 0.0013239383697509766, 0.006145954132080078, 0.021591663360595703, 0.0004172325134277344
