ID,X,Y
-11,0,0
-12,0,1439
-21,1079,0
-22,1079,1439
5,279.2735027137822,489.30949727236253
6,455.35618743298465,672.7483317194293
7,813.818179769777,312.0054644949887
8,1016.2196138867355,881.0293122493619
9,1395.0774810351954,499.16622956422395
24,78.27772144111674,323.17157747032644
25,209.74116756678242,592.3363718659831
27,646.2860143918058,585.5980303928428
29,429.6711076595128,205.11937701651019
30,859.1507924335638,683.4507385447557
31,931.7506758659939,494.07259177350085
34,555.3038836223801,384.849773758385
35,1211.3418189737783,691.2417536169725
36,1139.040655822785,209.47574897034295
37,1235.2132661313833,498.4406323551835
38,668.9228014602494,867.7853765772389
39,1357.8972075740062,895.4028492188262
