ID,X,Y
-11,0,0
-12,0,1439
-21,1079,0
-22,1079,1439
1,264.59553639209275,639.8249461501975
2,514.9166049905633,783.8568796362207
3,749.4940161630353,344.61794165172125
4,1025.9726557152826,649.6776491243868
5,1281.1540255406064,404.2612583276417
21,460.59609842609615,593.8427176948926
22,815.4672129672472,611.6574734881526
23,488.3808492496492,283.1897752000565
24,1021.718097058297,296.56284773497174
25,1255.8289296304047,514.3863958028128
26,1273.3042724561365,775.2056757961369
28,996.665915707604,469.4520685116617
29,1319.8472860104198,128.4106203165078
32,738.9050355498769,865.3395286429376
84,180.73732855027652,870.7146905395908
85,109.71874467938186,368.98244537692733
