ID,X,Y
-11,0,0
-12,0,1439
-21,1079,0
-22,1079,1439
5,279.32494967653065,489.1498464382063
6,455.23333799107917,673.2329546142404
7,814.1278163399787,311.9392486234584
8,1017.7320591482335,880.1709241748054
9,1395.724747975937,498.5125218487816
24,69.6424765109556,328.85241453192515
25,213.61382841652468,592.4630866934625
26,142.38322856578702,842.956635479795
27,646.7990230273256,577.0035883037118
29,430.63566996803564,202.88919685865434
30,860.8776544190279,683.7389795139918
31,932.9648306310531,494.05725938917425
34,556.5774704423221,384.36575176844696
35,1213.0384382505024,691.4376380653398
36,1140.1839245907374,209.8919348059043
37,1236.7608128967,497.04530943040305
38,667.8884667532958,868.1388242380951
39,1358.844414887931,893.9125811603942
