ID,X,Y
15,269.4715819977302,407.9916248404737
16,354.78587957685784,616.3043101859026
18,877.5840956751366,898.4983200844246
19,1322.690485060025,598.424573967712
54,280.2740366100669,123.73630308892155
56,129.46345473749597,573.909246883564
57,487.7635960483277,445.37495835582837
58,443.20358169589673,255.04915510536077
59,715.5459363489967,198.19933715179485
60,538.1056833554446,840.2597924649965
61,716.6459694907451,487.32735904267895
62,759.9186941057889,685.8539747007143
63,944.0597748194597,719.9622224045642
64,1019.657443463154,542.1460461568395
67,1227.8866881498893,766.8291911895305
81,1305.5034835374058,965.9622418807916
